iteration	node_index	branch_start_time	branch_end_time	start_state	end_state	transition_time	transition_type	parent_index	child1_index	child2_index
580	1	179.04	0	1	1	NA	no_change	148	NA	NA
590	1	179.04	0	1	6	171.705	anagenetic	148	NA	NA
590	1	179.04	0	6	1	56.4024	anagenetic	148	NA	NA
600	1	179.04	0	1	8	69.6602	anagenetic	148	NA	NA
600	1	179.04	0	8	1	29.1715	anagenetic	148	NA	NA
610	1	179.04	0	1	1	NA	no_change	148	NA	NA
620	1	179.04	0	1	1	NA	no_change	148	NA	NA
630	1	179.04	0	1	1	NA	no_change	148	NA	NA
640	1	179.04	0	1	5	177.546	anagenetic	148	NA	NA
640	1	179.04	0	5	1	105.16	anagenetic	148	NA	NA
650	1	179.04	0	1	6	98.281	anagenetic	148	NA	NA
650	1	179.04	0	6	1	81.5339	anagenetic	148	NA	NA
660	1	179.04	0	1	1	NA	no_change	148	NA	NA
670	1	179.04	0	1	6	157.234	anagenetic	148	NA	NA
670	1	179.04	0	6	1	20.8444	anagenetic	148	NA	NA
680	1	179.04	0	1	5	68.1762	anagenetic	148	NA	NA
680	1	179.04	0	5	1	66.2329	anagenetic	148	NA	NA
690	1	179.04	0	4	8	157.357	anagenetic	148	NA	NA
690	1	179.04	0	8	1	148.28	anagenetic	148	NA	NA
690	1	179.04	0	1	6	144.072	anagenetic	148	NA	NA
690	1	179.04	0	6	1	71.3226	anagenetic	148	NA	NA
690	1	179.04	0	1	8	56.375	anagenetic	148	NA	NA
690	1	179.04	0	8	1	22.9113	anagenetic	148	NA	NA
700	1	179.04	0	1	6	104.707	anagenetic	148	NA	NA
700	1	179.04	0	6	1	66.1988	anagenetic	148	NA	NA
710	1	179.04	0	1	5	156.969	anagenetic	148	NA	NA
710	1	179.04	0	5	1	152.577	anagenetic	148	NA	NA
710	1	179.04	0	1	6	146.236	anagenetic	148	NA	NA
710	1	179.04	0	6	1	145.655	anagenetic	148	NA	NA
720	1	179.04	0	1	6	167.34	anagenetic	148	NA	NA
720	1	179.04	0	6	1	8.26483	anagenetic	148	NA	NA
730	1	179.04	0	1	8	87.632	anagenetic	148	NA	NA
730	1	179.04	0	8	1	24.4544	anagenetic	148	NA	NA
740	1	179.04	0	2	5	120.524	anagenetic	148	NA	NA
740	1	179.04	0	5	1	2.88793	anagenetic	148	NA	NA
750	1	179.04	0	1	6	85.454	anagenetic	148	NA	NA
750	1	179.04	0	6	1	20.2406	anagenetic	148	NA	NA
760	1	179.04	0	1	8	146.136	anagenetic	148	NA	NA
760	1	179.04	0	8	1	66.1934	anagenetic	148	NA	NA
770	1	179.04	0	1	1	NA	no_change	148	NA	NA
780	1	179.04	0	1	6	131.058	anagenetic	148	NA	NA
780	1	179.04	0	6	1	30.8054	anagenetic	148	NA	NA
790	1	179.04	0	1	8	152.864	anagenetic	148	NA	NA
790	1	179.04	0	8	1	76.2905	anagenetic	148	NA	NA
800	1	179.04	0	1	8	105.81	anagenetic	148	NA	NA
800	1	179.04	0	8	1	73.9021	anagenetic	148	NA	NA
810	1	179.04	0	1	1	NA	no_change	148	NA	NA
820	1	179.04	0	1	1	NA	no_change	148	NA	NA
830	1	179.04	0	1	6	136.147	anagenetic	148	NA	NA
830	1	179.04	0	6	1	125.807	anagenetic	148	NA	NA
830	1	179.04	0	1	8	125.724	anagenetic	148	NA	NA
830	1	179.04	0	8	1	96.0325	anagenetic	148	NA	NA
840	1	179.04	0	1	5	33.4022	anagenetic	148	NA	NA
840	1	179.04	0	5	1	23.1998	anagenetic	148	NA	NA
850	1	179.04	0	1	1	NA	no_change	148	NA	NA
860	1	179.04	0	1	6	172.879	anagenetic	148	NA	NA
860	1	179.04	0	6	1	170.409	anagenetic	148	NA	NA
870	1	179.04	0	1	8	108.845	anagenetic	148	NA	NA
870	1	179.04	0	8	1	38.717	anagenetic	148	NA	NA
880	1	179.04	0	1	6	83.6594	anagenetic	148	NA	NA
880	1	179.04	0	6	1	17.97	anagenetic	148	NA	NA
890	1	179.04	0	1	8	165.686	anagenetic	148	NA	NA
890	1	179.04	0	8	1	53.8073	anagenetic	148	NA	NA
900	1	179.04	0	1	1	NA	no_change	148	NA	NA
910	1	179.04	0	1	1	NA	no_change	148	NA	NA
920	1	179.04	0	1	5	136.026	anagenetic	148	NA	NA
920	1	179.04	0	5	1	91.2105	anagenetic	148	NA	NA
930	1	179.04	0	1	1	NA	no_change	148	NA	NA
940	1	179.04	0	1	6	93.0278	anagenetic	148	NA	NA
940	1	179.04	0	6	1	15.6794	anagenetic	148	NA	NA
950	1	179.04	0	1	6	167.484	anagenetic	148	NA	NA
950	1	179.04	0	6	1	100.103	anagenetic	148	NA	NA
960	1	179.04	0	1	1	NA	no_change	148	NA	NA
970	1	179.04	0	1	6	137.706	anagenetic	148	NA	NA
970	1	179.04	0	6	1	38.1759	anagenetic	148	NA	NA
980	1	179.04	0	8	1	5.84323	anagenetic	148	NA	NA
990	1	179.04	0	1	8	174.969	anagenetic	148	NA	NA
990	1	179.04	0	8	1	15.1268	anagenetic	148	NA	NA
1000	1	179.04	0	1	1	NA	no_change	148	NA	NA
100	2	32.8642	0	1	1	NA	no_change	146	NA	NA
110	2	32.8642	0	1	1	NA	no_change	146	NA	NA
120	2	32.8642	0	1	1	NA	no_change	146	NA	NA
130	2	32.8642	0	8	1	25.638	anagenetic	146	NA	NA
140	2	32.8642	0	1	1	NA	no_change	146	NA	NA
150	2	32.8642	0	1	1	NA	no_change	146	NA	NA
160	2	32.8642	0	1	1	NA	no_change	146	NA	NA
170	2	32.8642	0	1	1	NA	no_change	146	NA	NA
180	2	32.8642	0	1	1	NA	no_change	146	NA	NA
190	2	32.8642	0	1	1	NA	no_change	146	NA	NA
200	2	32.8642	0	1	1	NA	no_change	146	NA	NA
210	2	32.8642	0	1	1	NA	no_change	146	NA	NA
220	2	32.8642	0	1	1	NA	no_change	146	NA	NA
230	2	32.8642	0	1	1	NA	no_change	146	NA	NA
240	2	32.8642	0	1	1	NA	no_change	146	NA	NA
250	2	32.8642	0	1	1	NA	no_change	146	NA	NA
260	2	32.8642	0	1	1	NA	no_change	146	NA	NA
270	2	32.8642	0	1	1	NA	no_change	146	NA	NA
280	2	32.8642	0	1	1	NA	no_change	146	NA	NA
290	2	32.8642	0	8	1	17.7381	anagenetic	146	NA	NA
300	2	32.8642	0	1	1	NA	no_change	146	NA	NA
310	2	32.8642	0	1	1	NA	no_change	146	NA	NA
320	2	32.8642	0	8	1	7.4434	anagenetic	146	NA	NA
330	2	32.8642	0	1	1	NA	no_change	146	NA	NA
340	2	32.8642	0	1	1	NA	no_change	146	NA	NA
350	2	32.8642	0	1	1	NA	no_change	146	NA	NA
360	2	32.8642	0	1	1	NA	no_change	146	NA	NA
370	2	32.8642	0	1	1	NA	no_change	146	NA	NA
380	2	32.8642	0	1	1	NA	no_change	146	NA	NA
390	2	32.8642	0	1	1	NA	no_change	146	NA	NA
400	2	32.8642	0	1	1	NA	no_change	146	NA	NA
410	2	32.8642	0	1	1	NA	no_change	146	NA	NA
420	2	32.8642	0	1	1	NA	no_change	146	NA	NA
430	2	32.8642	0	1	1	NA	no_change	146	NA	NA
440	2	32.8642	0	1	1	NA	no_change	146	NA	NA
450	2	32.8642	0	1	1	NA	no_change	146	NA	NA
460	2	32.8642	0	1	1	NA	no_change	146	NA	NA
470	2	32.8642	0	8	1	14.9946	anagenetic	146	NA	NA
480	2	32.8642	0	1	1	NA	no_change	146	NA	NA
490	2	32.8642	0	1	1	NA	no_change	146	NA	NA
500	2	32.8642	0	1	1	NA	no_change	146	NA	NA
510	2	32.8642	0	1	1	NA	no_change	146	NA	NA
520	2	32.8642	0	1	1	NA	no_change	146	NA	NA
530	2	32.8642	0	1	1	NA	no_change	146	NA	NA
540	2	32.8642	0	1	1	NA	no_change	146	NA	NA
550	2	32.8642	0	1	1	NA	no_change	146	NA	NA
560	2	32.8642	0	1	1	NA	no_change	146	NA	NA
570	2	32.8642	0	8	1	25.2896	anagenetic	146	NA	NA
580	2	32.8642	0	1	1	NA	no_change	146	NA	NA
590	2	32.8642	0	1	1	NA	no_change	146	NA	NA
600	2	32.8642	0	1	1	NA	no_change	146	NA	NA
610	2	32.8642	0	1	1	NA	no_change	146	NA	NA
620	2	32.8642	0	1	1	NA	no_change	146	NA	NA
630	2	32.8642	0	1	1	NA	no_change	146	NA	NA
640	2	32.8642	0	1	1	NA	no_change	146	NA	NA
650	2	32.8642	0	1	1	NA	no_change	146	NA	NA
660	2	32.8642	0	1	1	NA	no_change	146	NA	NA
670	2	32.8642	0	1	1	NA	no_change	146	NA	NA
680	2	32.8642	0	1	1	NA	no_change	146	NA	NA
690	2	32.8642	0	1	1	NA	no_change	146	NA	NA
700	2	32.8642	0	1	1	NA	no_change	146	NA	NA
710	2	32.8642	0	1	8	15.132	anagenetic	146	NA	NA
710	2	32.8642	0	8	1	12.1134	anagenetic	146	NA	NA
720	2	32.8642	0	1	1	NA	no_change	146	NA	NA
730	2	32.8642	0	1	1	NA	no_change	146	NA	NA
740	2	32.8642	0	1	1	NA	no_change	146	NA	NA
750	2	32.8642	0	1	1	NA	no_change	146	NA	NA
760	2	32.8642	0	1	1	NA	no_change	146	NA	NA
770	2	32.8642	0	1	1	NA	no_change	146	NA	NA
780	2	32.8642	0	1	1	NA	no_change	146	NA	NA
790	2	32.8642	0	8	1	18.481	anagenetic	146	NA	NA
800	2	32.8642	0	1	1	NA	no_change	146	NA	NA
810	2	32.8642	0	1	1	NA	no_change	146	NA	NA
820	2	32.8642	0	1	1	NA	no_change	146	NA	NA
830	2	32.8642	0	1	1	NA	no_change	146	NA	NA
840	2	32.8642	0	1	1	NA	no_change	146	NA	NA
850	2	32.8642	0	1	1	NA	no_change	146	NA	NA
860	2	32.8642	0	1	1	NA	no_change	146	NA	NA
870	2	32.8642	0	1	1	NA	no_change	146	NA	NA
880	2	32.8642	0	1	1	NA	no_change	146	NA	NA
890	2	32.8642	0	1	1	NA	no_change	146	NA	NA
900	2	32.8642	0	1	1	NA	no_change	146	NA	NA
910	2	32.8642	0	1	1	NA	no_change	146	NA	NA
920	2	32.8642	0	1	1	NA	no_change	146	NA	NA
930	2	32.8642	0	1	1	NA	no_change	146	NA	NA
940	2	32.8642	0	1	1	NA	no_change	146	NA	NA
950	2	32.8642	0	1	1	NA	no_change	146	NA	NA
960	2	32.8642	0	1	1	NA	no_change	146	NA	NA
970	2	32.8642	0	1	1	NA	no_change	146	NA	NA
980	2	32.8642	0	4	8	31.5856	anagenetic	146	NA	NA
980	2	32.8642	0	8	1	18.7076	anagenetic	146	NA	NA
990	2	32.8642	0	8	1	16.0869	anagenetic	146	NA	NA
1000	2	32.8642	0	1	1	NA	no_change	146	NA	NA
100	3	32.8642	0	4	4	NA	no_change	146	NA	NA
110	3	32.8642	0	4	4	NA	no_change	146	NA	NA
120	3	32.8642	0	4	4	NA	no_change	146	NA	NA
130	3	32.8642	0	4	4	NA	no_change	146	NA	NA
140	3	32.8642	0	8	4	25.6578	anagenetic	146	NA	NA
150	3	32.8642	0	4	4	NA	no_change	146	NA	NA
160	3	32.8642	0	4	4	NA	no_change	146	NA	NA
170	3	32.8642	0	4	4	NA	no_change	146	NA	NA
180	3	32.8642	0	4	4	NA	no_change	146	NA	NA
190	3	32.8642	0	8	4	0.959104	anagenetic	146	NA	NA
200	3	32.8642	0	1	8	28.401	anagenetic	146	NA	NA
200	3	32.8642	0	8	4	25.3469	anagenetic	146	NA	NA
210	3	32.8642	0	4	4	NA	no_change	146	NA	NA
220	3	32.8642	0	4	4	NA	no_change	146	NA	NA
230	3	32.8642	0	8	4	23.542	anagenetic	146	NA	NA
240	3	32.8642	0	8	4	29.0251	anagenetic	146	NA	NA
250	3	32.8642	0	8	4	23.5528	anagenetic	146	NA	NA
260	3	32.8642	0	4	4	NA	no_change	146	NA	NA
270	3	32.8642	0	1	8	23.0736	anagenetic	146	NA	NA
270	3	32.8642	0	8	4	22.3237	anagenetic	146	NA	NA
280	3	32.8642	0	4	4	NA	no_change	146	NA	NA
290	3	32.8642	0	4	4	NA	no_change	146	NA	NA
300	3	32.8642	0	4	4	NA	no_change	146	NA	NA
310	3	32.8642	0	4	4	NA	no_change	146	NA	NA
320	3	32.8642	0	4	4	NA	no_change	146	NA	NA
330	3	32.8642	0	4	4	NA	no_change	146	NA	NA
340	3	32.8642	0	4	4	NA	no_change	146	NA	NA
350	3	32.8642	0	4	4	NA	no_change	146	NA	NA
360	3	32.8642	0	4	4	NA	no_change	146	NA	NA
370	3	32.8642	0	4	4	NA	no_change	146	NA	NA
380	3	32.8642	0	4	4	NA	no_change	146	NA	NA
390	3	32.8642	0	4	4	NA	no_change	146	NA	NA
400	3	32.8642	0	1	8	16.963	anagenetic	146	NA	NA
400	3	32.8642	0	8	4	3.9002	anagenetic	146	NA	NA
410	3	32.8642	0	4	4	NA	no_change	146	NA	NA
420	3	32.8642	0	4	4	NA	no_change	146	NA	NA
430	3	32.8642	0	4	4	NA	no_change	146	NA	NA
440	3	32.8642	0	4	4	NA	no_change	146	NA	NA
450	3	32.8642	0	4	4	NA	no_change	146	NA	NA
460	3	32.8642	0	4	4	NA	no_change	146	NA	NA
470	3	32.8642	0	4	4	NA	no_change	146	NA	NA
480	3	32.8642	0	4	4	NA	no_change	146	NA	NA
490	3	32.8642	0	4	4	NA	no_change	146	NA	NA
500	3	32.8642	0	4	4	NA	no_change	146	NA	NA
510	3	32.8642	0	4	4	NA	no_change	146	NA	NA
520	3	32.8642	0	4	4	NA	no_change	146	NA	NA
530	3	32.8642	0	4	4	NA	no_change	146	NA	NA
540	3	32.8642	0	4	4	NA	no_change	146	NA	NA
550	3	32.8642	0	1	8	22.6462	anagenetic	146	NA	NA
550	3	32.8642	0	8	4	3.5363	anagenetic	146	NA	NA
560	3	32.8642	0	4	4	NA	no_change	146	NA	NA
570	3	32.8642	0	4	4	NA	no_change	146	NA	NA
580	3	32.8642	0	4	4	NA	no_change	146	NA	NA
590	3	32.8642	0	4	4	NA	no_change	146	NA	NA
600	3	32.8642	0	8	4	5.7857	anagenetic	146	NA	NA
610	3	32.8642	0	4	4	NA	no_change	146	NA	NA
620	3	32.8642	0	4	4	NA	no_change	146	NA	NA
630	3	32.8642	0	4	4	NA	no_change	146	NA	NA
640	3	32.8642	0	4	4	NA	no_change	146	NA	NA
650	3	32.8642	0	4	4	NA	no_change	146	NA	NA
660	3	32.8642	0	8	4	21.0614	anagenetic	146	NA	NA
670	3	32.8642	0	8	4	22.0674	anagenetic	146	NA	NA
680	3	32.8642	0	8	4	7.909	anagenetic	146	NA	NA
690	3	32.8642	0	4	4	NA	no_change	146	NA	NA
700	3	32.8642	0	4	4	NA	no_change	146	NA	NA
710	3	32.8642	0	1	8	9.7036	anagenetic	146	NA	NA
710	3	32.8642	0	8	4	6.55582	anagenetic	146	NA	NA
720	3	32.8642	0	8	4	31.9948	anagenetic	146	NA	NA
730	3	32.8642	0	4	4	NA	no_change	146	NA	NA
740	3	32.8642	0	1	8	30.111	anagenetic	146	NA	NA
740	3	32.8642	0	8	4	21.8111	anagenetic	146	NA	NA
750	3	32.8642	0	4	4	NA	no_change	146	NA	NA
760	3	32.8642	0	4	4	NA	no_change	146	NA	NA
770	3	32.8642	0	4	4	NA	no_change	146	NA	NA
780	3	32.8642	0	4	4	NA	no_change	146	NA	NA
790	3	32.8642	0	4	4	NA	no_change	146	NA	NA
800	3	32.8642	0	4	4	NA	no_change	146	NA	NA
810	3	32.8642	0	8	4	20.7638	anagenetic	146	NA	NA
820	3	32.8642	0	4	4	NA	no_change	146	NA	NA
830	3	32.8642	0	4	4	NA	no_change	146	NA	NA
840	3	32.8642	0	4	4	NA	no_change	146	NA	NA
850	3	32.8642	0	4	4	NA	no_change	146	NA	NA
860	3	32.8642	0	4	4	NA	no_change	146	NA	NA
870	3	32.8642	0	4	4	NA	no_change	146	NA	NA
880	3	32.8642	0	4	4	NA	no_change	146	NA	NA
890	3	32.8642	0	4	4	NA	no_change	146	NA	NA
900	3	32.8642	0	8	4	8.9005	anagenetic	146	NA	NA
910	3	32.8642	0	4	4	NA	no_change	146	NA	NA
920	3	32.8642	0	4	4	NA	no_change	146	NA	NA
930	3	32.8642	0	4	4	NA	no_change	146	NA	NA
940	3	32.8642	0	4	4	NA	no_change	146	NA	NA
950	3	32.8642	0	4	4	NA	no_change	146	NA	NA
960	3	32.8642	0	4	4	NA	no_change	146	NA	NA
970	3	32.8642	0	4	4	NA	no_change	146	NA	NA
980	3	32.8642	0	8	4	11.5762	anagenetic	146	NA	NA
990	3	32.8642	0	4	4	NA	no_change	146	NA	NA
1000	3	32.8642	0	4	4	NA	no_change	146	NA	NA
100	4	19.217	0	2	2	NA	no_change	144	NA	NA
110	4	19.217	0	2	2	NA	no_change	144	NA	NA
120	4	19.217	0	2	2	NA	no_change	144	NA	NA
130	4	19.217	0	2	2	NA	no_change	144	NA	NA
140	4	19.217	0	2	2	NA	no_change	144	NA	NA
150	4	19.217	0	2	2	NA	no_change	144	NA	NA
160	4	19.217	0	5	2	1.46123	anagenetic	144	NA	NA
170	4	19.217	0	5	2	18.6477	anagenetic	144	NA	NA
180	4	19.217	0	2	2	NA	no_change	144	NA	NA
190	4	19.217	0	2	2	NA	no_change	144	NA	NA
200	4	19.217	0	2	2	NA	no_change	144	NA	NA
210	4	19.217	0	2	2	NA	no_change	144	NA	NA
220	4	19.217	0	2	2	NA	no_change	144	NA	NA
230	4	19.217	0	2	2	NA	no_change	144	NA	NA
240	4	19.217	0	2	2	NA	no_change	144	NA	NA
250	4	19.217	0	2	2	NA	no_change	144	NA	NA
260	4	19.217	0	2	2	NA	no_change	144	NA	NA
270	4	19.217	0	2	2	NA	no_change	144	NA	NA
280	4	19.217	0	2	2	NA	no_change	144	NA	NA
290	4	19.217	0	2	2	NA	no_change	144	NA	NA
300	4	19.217	0	2	2	NA	no_change	144	NA	NA
310	4	19.217	0	2	2	NA	no_change	144	NA	NA
320	4	19.217	0	2	2	NA	no_change	144	NA	NA
330	4	19.217	0	2	2	NA	no_change	144	NA	NA
340	4	19.217	0	2	2	NA	no_change	144	NA	NA
350	4	19.217	0	2	2	NA	no_change	144	NA	NA
360	4	19.217	0	2	2	NA	no_change	144	NA	NA
370	4	19.217	0	2	2	NA	no_change	144	NA	NA
380	4	19.217	0	2	2	NA	no_change	144	NA	NA
390	4	19.217	0	2	2	NA	no_change	144	NA	NA
400	4	19.217	0	2	2	NA	no_change	144	NA	NA
410	4	19.217	0	2	2	NA	no_change	144	NA	NA
420	4	19.217	0	2	2	NA	no_change	144	NA	NA
430	4	19.217	0	2	2	NA	no_change	144	NA	NA
440	4	19.217	0	2	2	NA	no_change	144	NA	NA
450	4	19.217	0	5	2	1.46333	anagenetic	144	NA	NA
460	4	19.217	0	2	2	NA	no_change	144	NA	NA
470	4	19.217	0	2	2	NA	no_change	144	NA	NA
480	4	19.217	0	2	2	NA	no_change	144	NA	NA
490	4	19.217	0	2	2	NA	no_change	144	NA	NA
500	4	19.217	0	2	2	NA	no_change	144	NA	NA
510	4	19.217	0	2	2	NA	no_change	144	NA	NA
520	4	19.217	0	2	2	NA	no_change	144	NA	NA
530	4	19.217	0	2	2	NA	no_change	144	NA	NA
540	4	19.217	0	2	2	NA	no_change	144	NA	NA
550	4	19.217	0	2	2	NA	no_change	144	NA	NA
560	4	19.217	0	2	2	NA	no_change	144	NA	NA
570	4	19.217	0	2	2	NA	no_change	144	NA	NA
580	4	19.217	0	2	2	NA	no_change	144	NA	NA
590	4	19.217	0	2	2	NA	no_change	144	NA	NA
600	4	19.217	0	1	5	11.7301	anagenetic	144	NA	NA
600	4	19.217	0	5	2	3.09318	anagenetic	144	NA	NA
610	4	19.217	0	2	2	NA	no_change	144	NA	NA
620	4	19.217	0	2	2	NA	no_change	144	NA	NA
630	4	19.217	0	2	2	NA	no_change	144	NA	NA
640	4	19.217	0	2	2	NA	no_change	144	NA	NA
650	4	19.217	0	2	2	NA	no_change	144	NA	NA
660	4	19.217	0	2	2	NA	no_change	144	NA	NA
670	4	19.217	0	2	2	NA	no_change	144	NA	NA
680	4	19.217	0	2	2	NA	no_change	144	NA	NA
690	4	19.217	0	2	2	NA	no_change	144	NA	NA
700	4	19.217	0	5	2	2.21343	anagenetic	144	NA	NA
710	4	19.217	0	2	2	NA	no_change	144	NA	NA
720	4	19.217	0	2	2	NA	no_change	144	NA	NA
730	4	19.217	0	2	2	NA	no_change	144	NA	NA
740	4	19.217	0	2	2	NA	no_change	144	NA	NA
750	4	19.217	0	2	2	NA	no_change	144	NA	NA
760	4	19.217	0	2	2	NA	no_change	144	NA	NA
770	4	19.217	0	2	2	NA	no_change	144	NA	NA
780	4	19.217	0	1	5	8.93283	anagenetic	144	NA	NA
780	4	19.217	0	5	2	0.544746	anagenetic	144	NA	NA
790	4	19.217	0	2	2	NA	no_change	144	NA	NA
800	4	19.217	0	2	2	NA	no_change	144	NA	NA
810	4	19.217	0	2	2	NA	no_change	144	NA	NA
820	4	19.217	0	2	2	NA	no_change	144	NA	NA
830	4	19.217	0	2	2	NA	no_change	144	NA	NA
840	4	19.217	0	2	2	NA	no_change	144	NA	NA
850	4	19.217	0	2	2	NA	no_change	144	NA	NA
860	4	19.217	0	2	2	NA	no_change	144	NA	NA
870	4	19.217	0	2	2	NA	no_change	144	NA	NA
880	4	19.217	0	2	2	NA	no_change	144	NA	NA
890	4	19.217	0	2	2	NA	no_change	144	NA	NA
900	4	19.217	0	2	2	NA	no_change	144	NA	NA
910	4	19.217	0	2	2	NA	no_change	144	NA	NA
920	4	19.217	0	2	2	NA	no_change	144	NA	NA
930	4	19.217	0	2	2	NA	no_change	144	NA	NA
940	4	19.217	0	2	2	NA	no_change	144	NA	NA
950	4	19.217	0	2	2	NA	no_change	144	NA	NA
960	4	19.217	0	2	2	NA	no_change	144	NA	NA
970	4	19.217	0	2	2	NA	no_change	144	NA	NA
980	4	19.217	0	2	2	NA	no_change	144	NA	NA
990	4	19.217	0	2	2	NA	no_change	144	NA	NA
1000	4	19.217	0	2	2	NA	no_change	144	NA	NA
100	5	19.217	0	1	1	NA	no_change	144	NA	NA
110	5	19.217	0	5	1	0.386126	anagenetic	144	NA	NA
120	5	19.217	0	5	1	6.72383	anagenetic	144	NA	NA
130	5	19.217	0	1	1	NA	no_change	144	NA	NA
140	5	19.217	0	5	1	14.7784	anagenetic	144	NA	NA
150	5	19.217	0	1	1	NA	no_change	144	NA	NA
160	5	19.217	0	1	1	NA	no_change	144	NA	NA
170	5	19.217	0	1	1	NA	no_change	144	NA	NA
180	5	19.217	0	1	1	NA	no_change	144	NA	NA
190	5	19.217	0	1	1	NA	no_change	144	NA	NA
